ACE-inhibitors,"angiotensin-converting enzyme inhibitor, enalapril, captopril, lisinopril, ramipril, imidapril, benazepril, Enacard, Lotensin, Capoten, Vasotec, Prinivel, Zestril, fosinopril, moexipril, perindopril, quinapril, trandolapril","['Lethargy', 'weakness', 'hypotension (low blood pressure)', 'tachycardia (high heart rate)', 'vomiting', 'diarrhea']"
Acetaminophen,Acetaminophen,"['Lethargy', 'Swelling of the face', 'Difficulty breathing', 'Brown or blue gums', 'Vomiting', 'Diarrhea', 'Decreased appetite', 'Jaundice']"
Acids,"acid, acidic, battery, batteries, battery fluid, drain cleaner, toilet bowl cleaner, sulfuric acid, danger, hydrochloric acid, acetic acid, metal cleaners, pH, anti-rust compounds, hair wave neutralizers, drain cleaners","['Drooling', 'Pawing at the mouth', 'Difficulty swallowing', 'Refusal to eat', 'Ulceration in the mouth', 'Squinting of the eyes', 'Redness of the exposed area', 'Black coloration of the exposed skin or tissue', 'Difficulty breathing', 'Vomiting', 'Abdominal pain']"
African Evergreen,Syngonium podophyllum,"['Drooling', 'Vomiting', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite']"
African Wonder Tree,"Ricin, castor bean, Euphorbiaceae, spurge family","['Inappetance', 'Drooling', 'Abdominal pain', 'Vomiting', 'Severe bloody diarrhea', 'Abdominal straining', 'Weakness', 'Trembling', 'Hypotension (drop in blood pressure)', 'Sudden collapse', 'Death']"
Alcohol,"alcohol, mixed drinks, beer, liquor, ethanol, unbaked bread dough, yeast, wine, spirits, cocktails","['Depression or lethargy', 'Incoordination', 'Drooling', 'Vomiting or retching', 'Weakness', 'Collapse', 'Decreased respiratory rate', 'Hypoglycemia (low blood sugar)', 'Hypotension (low blood pressure)', 'Hypothermia (low body temperature)']"
Alkalis,"alkaline, pH, base, sodium hypochlorite, bleach, dishwasher detergent, batteries, dry cell batteries, cement, drain cleaner, hair relaxer, lye, oven cleaner, danger, caustic, hydroxide","['Drooling', 'Pawing at the mouth', 'Difficulty swallowing', 'Ulcerations in the mouth', 'Squinting of the eyes', 'Redness of the exposed area', 'Difficulty breathing', 'Vomiting', 'Abdominal pain']"
Alocasia,"Amazon elephant's ear, Giant elephant's ear, Elephant's ear","['Drooling', 'Pawing at the face or mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Aloe Vera,"True aloe, Octopus plant, Torch plant, Candelabra plant, Medicine plant, Barbados aloe",[]
Amaryllis,"Liliacea, Narcissus, Belladonna Amaryllis","['Drooling', 'Vomiting', 'Hypotension (drop in blood pressure)', 'Respiratory depression', 'Abdominal discomfort']"
Ambien,"Lunesta, Ambien, zolpidem, eszopiclone, zaleplon, Sonata","['Severe sedation', 'Severe agitation', 'Hyperactivity', 'Aggression', 'Panting', 'Vomiting', 'Diarrhea', 'Drooling', 'Tremors', 'Hyperthermia', 'Walking drunk', 'Respiratory or cardiovascular depression']"
American Bittersweet,"Celastrus scandens, Bittersweet, False Bittersweet, Climbing Bittersweet, Shrubby Bittersweet, Waxwork, European Bittersweet",[]
Amitraz,"insecticide, acaracide, Mitaban, Mitac, Preventic, Taktic, Zema, Mitacur, Ovasyn, parasiticide, ProMeris",[]
Amphetamines,"ADD medication, ADHD medication, methylphenidate, ecstasy, methylphenidate, dextroamphetamine, amphetamine, Adderall, D-amphetamine, Dexedrine, methamphetamine, Desoxyn, lisdexamfetamine, Vyvanse","['Agitation', 'Aggression', 'Panting', 'Sedation', 'Elevated heart rate', 'Hypertension', 'Drooling', 'Vomiting', 'Diarrhea', 'Tremors', 'Seizures']"
Andromeda Japonica,"Japonica, Bog Rosemary, Pieris, Pieris japonica",[]
Angel's Trumpet,"Brugmansia, atropine",[]
Anthurium,"flamingo flower, laceleaf, tailflower","['Drooling', 'Pawing at the face or mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Antibiotics,"neosporin, triple antibiotic, bacitracin, neomycin, polymyxin, topical, enrofloxacin, ampicillin, amoxicillin, Clavamox, Baytril, Keflex, cephalosporins, isoniazid","['Drooling', 'Inappetance', 'Vomiting', 'Diarrhea', 'Discolored teeth', 'Inappropriate drinking or urinating', 'Skin lesions', 'Tremors']"
Antidepressants,"SSRIs, antidepressants, selective serotonin reuptake inhibitors, Cymbalta, Effexor, Prozac, Reconcile, fluoxetine, citalopram, escitalopram, paroxetine, sertraline, Celexa, Lexapro, Paxil, Zoloft, selective norepinephrine re-uptake inhibitors, SNRIs, duloxetine, nefazodone, Serzone, venlafaxine",[]
Antifreeze,"ethylene glycol, EG","['Stage 1: This occurs within 30 minutes to 12 hours, and looks similar to alcohol poisoning. Signs of incoordination, drooling, vomiting, seizures, and excessive thirst and urination may be seen.']"
Antihistamines,"Benadryl, Caldryl, Dermamycin, Ziradryl, diphenhydramine, DPH","['Agitation', 'Lethargy', 'Sedation', 'Aggression', 'Abnormal heart rate', 'Abnormal blood pressure (hypertension)', 'Vomiting', 'Diarrhea', 'Inappetance', 'Seizures', 'Respiratory depression', 'Death']"
Apple Leaf Croton,"croton, garden croton","['Drooling', 'Vomiting', 'Diarrhea', 'Skin irritation']"
Apricot,"Prunus, Prunus armeniaca",[]
Arrowhead Vine,"American Evergreen, Goosefoot plant, African Evergreen, Arrowleaf vine, Trileaf wonder, Syngonium podophyllum","['Drooling', 'Vomiting', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite']"
Asparagus Fern,"Emerald feather, Emerald fern, Flagstaff fern, Foxtail fern, Lace fern, Mazeppa fern, Plumosa fern, Racemose asparagus, Sprengeri fern, Sprenger's asparagus fern","['Vomiting', 'Diarrhea', 'Abdominal pain', 'Dermal irritation']"
Aspirin,"NSAID, acetylsalicylic acid, ASA, salicylic acid, BenGay, salicylates, HEET, Icy Hot, Pepto-Bismol, oil of wintergreen","['If you suspect your dog or cat were poisoned by aspirin, call your veterinarian or Pet Poison Helpline immediately for life-saving treatment recommendations.']"
Asthma Inhaler,"Albuterol, Salbuterol, Proventil, Ventilin, ProAir, Accuneb, asthma inhaler, beta agonist, b1 agonist",['Common signs to watch for:']
Australian Nut,Macadamia integrifolia and Macadamia tetraphylla,[]
Autumn Crocus,"Colchium, spring crocus, crocus",[]
Avocado,Persea americana,[]
Azalea,"Ericaceae, Rhododendron, grayanotoxin",[]
Baby's Breath,Gypsophila sp.,"['Vomiting', 'Anorexia', 'Diarrhea', 'Lethargy']"
Baclofen,Baclofen,"['abnormal vocalization', 'walking drunk (ataxia)', 'severe sedation, agitation', 'slow heart rate', 'low blood pressure', 'tremors, seizures', 'difficulty breathing (respiratory depression)']"
Baneberry,Actaea spicata,"['drooling', 'oral irritation', 'vomiting', 'anorexia']"
Batteries,"AA, AAA, dry cell, lithium, battery, alkaline, acidic, corrosive, button battery, batteries, heavy metal, corrosive","['If you pet has punctured or swallowed a battery, call your veterinarian or Pet Poison Helpline for advice.']"
Beech Trees,Actaea spicata,"['vomiting', 'diarrhea', 'abdominal pain', 'incoordination', 'convulsions/spasms', 'collapse', 'paralysis', 'death']"
Belladonna,Atropa belladonna,"['Vomiting', 'Rapid heart rate', 'Dilated pupils', 'Hallucinations/Delirium', 'Respiratory Failure']"
Benzodiazepines,Benzodiazepines,"['Severe sedation', 'In-coordination', 'Aggression', 'Agitation', 'Nausea', 'Vomiting', 'Respiratory depression', 'Cardiovascular depression']"
Beta-blockers,"cardiac medication, heart medication, atenolol, carvedilol, esmolol, labetalol, metoprolol, nadolol, nebivolol, propranolol, sotalol, timolol","['Nausea', 'Vomiting', 'Weakness', 'Collapse', 'Slowed heart rate', 'Lethargy']"
Bird of Paradise,Strelitzia sp,"['Oral Irritation and discomfort;', 'Vomiting;', 'Diarrhea;', 'Inappetance;']"
Black Locust,Robinia spp,"['Vomiting', 'Diarrhea', 'Inappetance', 'Weakness', 'Dilated pupils', 'Cold limbs', 'Difficulty breathing']"
Black Widow Spider,Lactrodectus,"['severe muscle pain', 'cramping', 'walking drunk', 'tremors', 'paralysis', 'blood pressure changes', 'drooling', 'vomiting', 'diarrhea', 'death']"
Bleeding Hearts,Dicentra sp,"['Vomiting', 'Anorexia', 'Skin Irritation', 'Staggering', 'Tremors']"
Bloodroot,Sanguinaria sp,"['Nausea', 'Vomiting', 'Dilated pupils', 'Weakness', 'Fainting/Collapse', 'Diarrhea', 'Heart failure']"
Blue-green Algae (Cyanobacteria),Cyanobacteria,"['Vomiting', 'Diarrhea', 'Blood in stool or black', 'tarry stool', 'Weakness', 'Pale mucous membranes', 'Jaundice', 'Liver Damage/Failure', 'Tremors', 'Seizures', 'Disorientation', 'Coma', 'Muscle rigidity', 'Paralysis', 'Blue discoloration of the skin and mucous membranes (Cyanosis)', 'Difficulty breathing', 'Death']"
Bluebonnet,Lupinus sp. ; quinolizidine alkaloids,"['Tremors', 'Incoordination', 'Agitation', 'Collapse', 'Seizures', 'Birth Defects']"
Bone Meal & Blood Meal,"bone meal, blood meal, organic fertilizers, fish meal, fertilizers","['Bone meal is made up of defatted, dried, and flash-frozen animal bones that are ground to a powder. Gardeners often use bone meal to dust spring bulbs (to prevent squirrels from ingesting the bulbs). This _one is also what makes it so palatable to your dog so make sure to keep your pet from digging in it and ingesting the soil. While this also makes a great organic fertilizer, it can become a problem when consumed in large amounts as the bone meal forms a large cement-like bowling ball foreign body in the stomach  which can cause an obstruction in the gastrointestinal tract  resulting in possible surgery to remove it.']"
Boxwood Tree,Buxus Sp,"['Vomiting', 'Diarrhea', 'Anorexia', 'Seizures', 'Tremors', 'Difficulty breathing']"
Branching Ivy,Hedera sp.,"['Vomiting', 'Diarrhea', 'Anorexia', 'Lethargy', 'Hypersalivation/drooling']"
Bread Dough,"Ethanol, CO2","['Vomiting', 'Lethargy', 'Staggering', 'Weakness', 'Abdominal distention/bloat', 'Unproductive retching', 'Coma']"
Bromethalin,Bromethalin,[]
Brown Recluse Spider,Loxosceles reclusa,"['Pain and itching at site of bite', 'Bulls-eye lesion at site of bite', 'fever', 'lethargy', 'seizures', 'low blood pressure', 'clotting abnormalities', 'organ dysfunction']"
Buckeye,Aesculus sp,"['vomiting', 'diarrhea', 'lethargy', 'bowel obstruction', 'ataxia', 'agitation', 'tremors', 'muscle stiffness', 'seizures', 'colic']"
Buddhist Pine,Podocarpus macrophylla,"['Anorexia', 'Vomiting', 'Diarrhea', 'Colic in horses']"
Burning Bush,Euonymus alatus; evomonoside,"['vomiting', 'diarrhea', 'weakness', 'cardiac effects', 'seizures', 'coma']"
Buttercup,Ranunculaceae,"['Oral or facial blisters', 'Facial swelling', 'Excessive Salivation/drooling', 'Vomiting', 'Diarrhea', 'Anorexia', 'Colic']"
Caffeine,"methylxanthine, xanthine, tea, coffee, coffee beans, weight loss supplements, dietary supplements, energy drinks, guarana","['Hyperactivity', 'Restlessness', 'Vomiting', 'Elevated heart rate', 'Elevated blood pressure (hypertension)', 'Elevated body temperature (hypothermia)', 'Abnormal heart rhythm', 'Tremors', 'Seizures', 'Collapse']"
Caladium,"Angel wings, Elephant ear, Fancy-leaved caladium, Heart of Jesus, Pink cloud, Texas wonder","['Drooling', 'Pawing at the mouth or face', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Calcipotriene,"calcipotriol, Vitamin D3, cholecalciferol, Taclonex, Dovonex, psoriasis cream",[]
Calcium Channel Blockers,"heart medication, cardiac medication, diltiazem, CCBs, verapamil, amlodipine, nifedipine, nisoldipine, nimodipine, nicardipine, felodipine, isradipine, clevidipine","['Nausea', 'Vomiting', 'Weakness', 'Collapse', 'Slowed heart rate', 'Lethargy']"
Calcium Supplements,"vitamin D3, cholecalciferol, Viactiv, Tums, Caltrate, Os-Cal, hypercalcemia","['Signs of poisoning due to calcium include nausea, vomiting, diarrhea or constipation, lethargy (decreased activity) and a lack of appetite (inappetence). If the supplement also contains Vitamin D3 leading to high blood calcium concentrations, there is potential for excessive thirst or urination, weakness, mineralization of various tissues, including the kidneys, and acute kidney failure to develop depending on the dose ingested.']"
Calla Lily,"Arum lily, Florist's calla, Pig lily, Garden calla, Richardia aethiopica, Richardia africana, Trumpet lily, White arum","['Drooling', 'Oral pain', 'Pawing at the mouth', 'Vomiting', 'Decreased appetite']"
Camphor,"topical, Carmex, Tiger Balm, Vicks, VapoRub, Campho-Phenique, Arthritis Rub",[]
Candelabra Cactus,candelabra tree,[]
Carbamates,"disulfuton, OP, chlorpyrifos, flea collar, parathion, fensulfothion, terbufos, TEPP, dichlorvos, malathion, aldicarb, carbofuran, methomyl, carbofuran, propuxur, pralidoxime, insecticides",[]
Carbon Monoxide,"CO, smoke inhalation, monoxide",[]
Cardiac Glycosides,"digoxin, kalanchoe, lily of the valley, Convallaria, oleander, Nerium, foxglove, digitalis, Star of Bethlehem, Ornithogalum, dogbane, Apocynum, desert rose, Adenium","['Dogbane', 'Giant milkweed', 'Foxglove', 'Kalanchoe', 'Lily of the valley', 'Milkweed', 'Oleander', 'Star of Bethlehem']"
Carprofen,"Rimadyl, Zinecarp, Canidryl, Aventicarp, Rycarfa, Rimifin, Carpox, Tergive, Carprodyl, Carprieve, Norocarp, Novox, quellin, Rovera, Vetprofen, Levafen, Non-Steroidal Anti-Inflammatory (NSAID, NSAIDs)","['Vomiting', 'Bloody vomitus', 'Diarrhea', 'Black-tarry stool', 'Inappetance', 'Lethargy', 'Increase in urination or thirst', 'General malaise', 'Abdominal pain', 'Seizures']"
Castor Bean,"Ricinus, seed, African Wonder tree, Euphorbiaceae",[]
Charming Dieffenbachia,"Spotted Dumb Cane, Giant Dumb Cane, Tropic Snow, Dieffenbachia amoena, Dieffenbachia","['Drooling', 'Oral pain', 'Pawing at the mouth', 'Vomiting', 'Decreased appetite']"
Cherry,"domestic cherry, ground cherry, wild cherry, Prunus, Choke cherry, Black cherry, cherry laurel",[]
Chinaberry Tree,"Bead tree, Pride of India, Texas Umbrella tree, Melia azedarach, White Cedar, Paradise tree, China Ball tree, Persian Lilac",[]
Chinese Evergreen,"Aglaonema, Diamond bay, Emerald bay, Moonlight bay, Stripes","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Chives,Allium schoenoprasum,"['Drooling', 'Nausea', 'Oral irritation', 'Vomiting', 'Diarrhea', 'Lethargy', 'Abdominal pain', 'Elevated heart rate and respiratory rate', 'Weakness', 'Exercise intolerance', 'Collapse', 'Pale gums']"
Chocolate,"chocolate-covered espresso beans, milk chocolate, Baker's chocolate, white chocolate, dark chocolate, semi-sweet chocolate, cocoa mulch, cacao mulch, cocoa hull, caffeine, theobromine, methylxanthine, xanthine, cocoa powder, chocolate candy, Halloween candy, Easter candy, Valentine's Day Candy, Christmas candy, Hanukkah candy","['Hyperactivity', 'Restlessness', 'Vomiting', 'Diarrhea', 'Increased thirst', 'Elevated heart rate', 'Hypertension (elevated blood pressure)', 'Abnormal heart rhythms', 'Tremors', 'Hyperthermia (elevated body temperature)']"
Chokecherry,"Prunus, Black cherry, cherry laurel, domestic cherry, choke cherry",[]
Cholecalciferol,"Vitamin D3, calcitriol, calcipotriene, rodenticide, rat poison, mouse poison","['Cholecalciferol has a very narrow margin of safety, which means that even small ingestion of this poison can result in severe clinical signs or death. Toxic ingestions must be treated quickly and appropriately to prevent kidney failure.']"
Christmas Rose,"Helleborus niger, Hellebore, Easter rose, Ranunculaceae",[]
Chrysanthemum,Mums,"['Vomiting', 'Diarrhea', 'Inappetance']"
Cineria,None,[]
Clematis,None,[]
Cocaine,"Crack, coke, blow","['Cocaine and crack primarily affect pets brains and hearts. Early signs of cocaine poisoning include hyperactivity, dilated pupils, twitches or tremors, seizures, and death. The dose needed to cause poisoning in pets is very small and all exposures of illicit drugs are emergencies and need immediate veterinary evaluation.']"
Coins,"pennies, coin, penny, nickel","['Content written by: Dr. Cat Angle, DVM, MPH, Pet Poison Helpline']"
Coral Snake,"Elapids, poisonous snakes, Micrurus, antivenin, antivenom",[]
Cordatum,None,[]
Corn Plant,"cornstalk plant, ribbon plant, dragon tree, Madagascar dragon tree, money tree, lucky bamboo, Dracaena",[]
Cornflower,Cornstalk,[]
Corticosteroids,"Cortaid, Penecort, Procort, Scalpicin, hydrocortisone, prednisone, prednisolone, steroids",['Common signs to watch for:']
Corydalis,None,[]
Cough Medicine,"dextromethorphan, decongestants, cold medication, DXM, antitussives, NyQuil, Robitussin",[]
Cowbane,"Water hemlock, poison parsnip, poison parsley",[]
Crocus,"Colchium, autumn crocus, spring crocus, crocus",[]
Croton,garden croton,"['Drooling', 'Vomiting', 'Diarrhea', 'Skin irritation']"
Crown of Thorns,"Christplant, Christ plant, Christ thorn",[]
Currants,Vitis or Ribes species,[]
Cyclamen,"Persian violet, Sowbread",[]
Daffodils,"If you suspect your dog has ingested daffodils (particularly the bulbs), contact your veterinarian or Pet Poison Helpline for treatment recommendations.","['Drooling', 'Nausea', 'Vomiting', 'Diarrhea', 'Increased heart rate', 'Abdominal pain', 'Abnormal breathing', 'Cardiac arrhythmias']"
Daphne,"copse laurel, dwarf bay, dwarf laurel, February daphne, flax olive, garland daphne, genkwa, lady laurel, mezereum, olive spurge, spurge flax, spurge olive, spurge laurel, wild pepper, winter daphne",[]
Daylily,"Lilies, daylily, day lily, Hemerocallis","['For more information about lilies, including safer alternative flowers for homes with cats and educational materials, visit our No Lilies for Kitties page.']"
Decongestants,"phenylephrine, pseudoephedrine, cold medication, nasal decongestants",[]
Delphinium,None,[]
Deramaxx,"Deracoxib, NSAID, NSAIDs",[]
Detergents,"soap, fabric softener, cleaner, enzymatic cleaner, deodorizer, anionic, cationic, nonionic, surfactants","['Drooling', 'Burns in the mouth', 'Pawing at the mouth', 'Inappetance', 'Vomiting', 'Lethargy', 'Difficulty breathing']"
Devil's Ivy,"Pothos, golden pothos, taro vine, ivy arum, hunter's robe","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Dieffenbachia,"Charming dieffenbachia, Dumbcane, Dumb cane, Exotica perfection, Giant dumb cane, Gold dieffenbachia, Spotted dumb cane, Tropic snow, Variable dieffenbachia","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Diuretic,"water pill, hydrochlorothiazide, spironolactone, furosemide, thiazides, loop diuretics, Lasix","['Severe dehydration', 'Excessive thirst and urination', 'Lethargy', 'Acute kidney failure (rare)']"
Dogbane,"Indian hemp, Bitter Root, Apocynum, cardiac glycoside","['Foxglove', 'Giant milkweed', 'Kalanchoe', 'Lily of the valley', 'Milkweed', 'Oleander', 'Star of Bethlehem']"
Dracaena,"cornstalk plant, corn plant, ribbon plant, dragon tree, Madagascar dragon tree, money tree, lucky bamboo","['Drooling', 'Vomiting', 'Diarrhea', 'Abdominal pain', 'Weakness', 'Incoordination', 'Dilated pupils (in cats)']"
Dragon Tree,"corn plant, Madagascar dragon tree, money tree, ribbon plant","['Drooling', 'Vomiting', 'Diarrhea', 'Abdominal pain', 'Weakness', 'Incoordination', 'Dilated pupils (in cats)']"
Dumbcane,"Charming dieffenbachia, Dieffenbachia, Exotica perfection, Giant dumb cane, Gold dieffenbachia, Spotted dumb cane, Tropic snow, Variable dieffenbachia","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Easter Lily,Lilium longiflorum,"['Vomiting', 'Lethargy', 'Acute Kidney Failure']"
Effexor,Venlafaxine HCl,"['sedation or hyperactivity', 'stumbling gait', 'dilated pupils', 'tremor, seizure', 'fever', 'rapid heart rate', 'drooling', 'vomiting', 'diarrhea']"
Elaine,Agapanthus 'Elaine',"['Vomiting', 'Drooling']"
Elderberry,Sambucus spp.,"['Vomiting', 'Diarrhea', 'Anorexia', 'Lethargy']"
Elephant Ear,Araceae,"['Drooling', 'Oral pain', 'Poor appetite', 'Retching', 'Vomiting']"
Emerald Feather,Asparagaceae,['Vomiting']
English Ivy,Hedera spp,"['Drooling', 'Vomiting', 'Diarrhea']"
Ephedra,"Ma huang, Ephedra, herbal, herbal ecstasy, supplement",[]
EtoGesic,Etodolac,"['Vomiting', 'Tarry stool', 'Anorexia', 'Loss of urine production/Acute renal failure']"
Eucalyptus,Common signs to watch for:,"['vomiting,', 'diarrhea', 'unsteady gait', 'tremor', 'seizure']"
Euonymus,Cardiac glycoside,"['vomiting', 'diarrhea', 'drooling', 'abdominal pain', 'cardiac arrhythmia (rare)']"
Ferns,None,[]
Fertilizers,"soil amendments, bone meal, blood meal, feather meal, plant food, potash","['Drooling', 'Nausea', 'Vomiting (acute or delayed onset)', 'Diarrhea', 'Abnormal posture due to abdominal pain', 'Difficulty breathing', '_uddy colored gums']"
Ficus,"Indian rubber plant, common rubber tree, common fig, fiddle-leaved fig, fiddle-leaf fig","['Decreased appetite', 'Drooling', 'Vomiting', 'Diarrhea', 'Skin irritation']"
Fiddle-Leaf Philodendron,"Fiddleleaf philodendron, Horsehead philodendron, philodendron, panda plant","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Firestarter Logs,"Sawdust, wax, Duraflame, foreign body obstruction, heavy metals","['Drooling', 'Vomiting', 'Loss of appetite', 'Distended stomach', 'Retching']"
Fireworks,"heavy metals, foreign body obstruction, oxidizing agent, matches","['Vomiting', 'Abdominal pain', 'Bloody diarrhea', 'Tremors', 'Seizures', 'Shallow breathing', 'Jaundice', 'Acute kidney failure', 'Bone marrow changes']"
Firocoxib,"Previcox, NSAID, NSAIDs",[]
Flamingo Plant,None,[]
Flax,None,[]
Flea Collar,"Amitraz, Preventic, pyrethrins, pyrethroids, organophosphates, carbamates",[]
Flea and Tick Medications,"flea, tick, over-the-counter flea, pyrethrins, pyrethroids","['If you think your dog or cat is having side-effects or was exposed to pyrethrins/pyrethroids, call your veterinarian or Pet Poison Helpline immediately for life-saving treatment advice.']"
Fluoride,"toothpaste, mouthwash, hydrofluoric acid",[]
Four O'Clock,None,[]
Foxglove,"Digitalis, digoxin, cardiac glycoside, common foxglove","['Dogbane', 'Giant milkweed', 'Kalanchoe', 'Lily of the valley', 'Milkweed', 'Oleander', 'Star of Bethlehem']"
Garlic,Allium sativum,"['Anemia (e.g. lethargy)', 'pale gums', 'increased heart rate', 'increased respiratory rate', 'weakness', 'exercise (intolerance, collapse)', 'GI upset (e.g., nausea, drooling, abdominal pain, vomiting, diarrhea)']"
Gasoline,"hydrocarbons, kerosone, motor oil, petroleum distillates, fuel, tiki-torch fluid, oil, transmission fluid, brake fluid","['Vomiting', 'Drooling', 'Increased breathing', 'Skin irritation', 'Eye irritation', 'Walking drunk', 'Coma']"
Geranium,Geranium (genus),"['vomiting', 'diarrhea', 'depression', 'anorexia', 'skin irritation']"
Glacier Ivy,Hedera helix,"['vomiting,', 'diarrhea', 'abdominal pain', 'hypersalivation', 'dermatitis']"
Gladiolas,Gladiolus species,['Common signs to watch for:']
Glory Chain,Clerodendrum species,"['GI upset (vomiting, diarrhea)', 'contact dermatitis']"
Glory Lily,Gloriosa species,"['salivation', 'vomiting', 'diarrhea', 'GI hemorrhage', 'shock', 'seizures', 'kidney failure', 'liver failure', 'DIC', 'bone marrow suppression']"
Glow Jewelry,Dibutyl phthalate,"['Profuse drooling', 'Gagging', 'Retching', 'Redness to the eyes', 'Redness to the skin', 'Vomiting']"
Gold Dieffenbachia,Dieffenbachia species,"['Drooling', 'Oral pain', 'Pawing at the mouth', 'Vomiting', 'Decreased appetite']"
Gold Dust Dracaena,"Dracaena surculosa, Dracaena godseffiana","['Drooling', 'Vomiting', 'Diarrhea', 'Abdominal pain', 'Weakness', 'Incoordination', 'Dilated pupils (in cats)', 'Elevated heart rate (cats)']"
Golden Chain Tree,"Laburnum, Golden rain tree",[]
Golden Pothos,"Epipremnum aureum, Marble Queen, Scindapsus spp., devil's ivy, hunter's robe","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Gopher Purge,"Gopher plant, gopher spurge, mole plant, mole weed",[]
Gorilla Glue,"diisocyanate glue, adhesive, wood glue, construction glue",[' ']
Grapes,Vitis species,[]
Hahn's Self Branching English Ivy,None,[]
Hand Sanitizer (Ethanol),"alcohol, ethanol, ethyl alcohol",[]
Hand Warmers,"Foot warmers, oxygen absorber, body warmer",[]
Heartleaf Philodendron,"Heart leaf vine, philodendron","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Heavenly Bamboo,"Nandina, Sacred bamboo",[]
Hellebore,None,[]
Hemlock,None,[]
Herbicides,"2,4-D, glyphosate, Roundup, dicamba, paraquat",[]
Holly,"Ilex, English holly, Chinese holly, Japanese holly, saponins",[]
Hops,"beer, brewing, malignant hyperthermia, Humulus",[]
Hornets,"wasps, bee, honeybees, African killer bees, Vespidae, venom, vespids",[]
Horse Beans,None,[]
Horse Chestnut,None,[]
Horsehead Philodendron,"Fiddleaf philodendron, Fiddle-leaf philodendron, panda plant, Philodendron","['Drooling', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
